duration;protocol_type;service;flag;src_bytes;dst_bytes;land;wrong_fragment;urgent;hot;num_failed_logins;logged_in;num_compromised;root_shell;su_attempted;num_root;num_file_creations;num_shells;num_access_files;num_outbound_cmds;is_host_login;is_guest_login;count;srv_count;serror_rate;srv_serror_rate;rerror_rate;srv_rerror_rate;same_srv_rate;diff_srv_rate;srv_diff_host_rate;dst_host_count;dst_host_srv_count;dst_host_same_srv_rate;dst_host_diff_srv_rate;dst_host_same_src_port_rate;dst_host_srv_diff_host_rate;dst_host_serror_rate;dst_host_srv_serror_rate;dst_host_rerror_rate;dst_host_srv_rerror_rate;attack_category;occurance
0;tcp;http;SF;308;3222;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;3;3;0.00;0.00;0.00;0.00;1.00;0.00;0.00;255;237;0.93;0.01;0.00;0.00;0.00;0.00;0.00;0.00;normal;21
0;tcp;finger;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49;15;1.00;1.00;0.00;0.00;0.31;0.08;0.00;255;58;0.23;0.02;0.01;0.00;1.00;1.00;0.00;0.00;neptune;18
0;tcp;private;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;137;20;1.00;1.00;0.00;0.00;0.15;0.07;0.00;255;20;0.08;0.06;0.00;0.00;1.00;1.00;0.00;0.00;neptune;21
0;tcp;other;REJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511;1;0.09;0.00;0.89;1.00;0.00;1.00;0.00;255;1;0.00;1.00;0.00;0.00;0.08;0.00;0.87;1.00;satan;20
0;tcp;echo;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;277;22;1.00;1.00;0.00;0.00;0.08;0.05;0.00;255;22;0.09;0.05;0.00;0.00;1.00;1.00;0.00;0.00;neptune;20
0;tcp;finger;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;60;16;1.00;1.00;0.00;0.00;0.27;0.07;0.00;140;41;0.26;0.03;0.01;0.05;1.00;0.88;0.00;0.00;neptune;18
0;tcp;other;REJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;487;1;0.08;0.00;0.89;1.00;0.00;0.95;0.00;255;1;0.00;0.91;0.00;0.00;0.10;0.00;0.90;1.00;satan;18
0;tcp;time;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;230;5;1.00;1.00;0.00;0.00;0.02;0.05;0.00;255;5;0.02;0.06;0.00;0.00;1.00;1.00;0.00;0.00;neptune;20
0;udp;domain_u;SF;42;128;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;71;151;0.00;0.00;0.00;0.00;1.00;0.00;0.01;255;254;1.00;0.01;0.00;0.00;0.00;0.00;0.00;0.00;normal;20
0;tcp;discard;RSTO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120;5;0.00;0.00;1.00;1.00;0.04;0.07;0.00;255;5;0.02;0.08;0.00;0.00;0.00;0.00;1.00;1.00;neptune;19
0;tcp;http;SF;333;1337;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;10;0.00;0.00;0.00;0.00;1.00;0.00;0.00;93;255;1.00;0.00;0.01;0.04;0.00;0.00;0.00;0.00;normal;21
0;icmp;urp_i;SF;135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7;6;0.00;0.00;0.00;0.00;0.29;0.29;0.33;255;14;0.05;0.01;0.05;0.00;0.00;0.00;0.00;0.00;normal;21
0;tcp;klogin;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;111;23;1.00;1.00;0.00;0.00;0.21;0.05;0.00;255;23;0.09;0.04;0.00;0.00;1.00;1.00;0.00;0.00;neptune;18
0;tcp;http;SF;294;699;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;6;6;0.00;0.00;0.00;0.00;1.00;0.00;0.00;18;255;1.00;0.00;0.06;0.03;0.00;0.00;0.00;0.00;normal;21
0;tcp;private;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;101;19;1.00;1.00;0.00;0.00;0.19;0.06;0.00;255;32;0.13;0.06;0.00;0.00;1.00;1.00;0.00;0.00;neptune;18
0;tcp;http;SF;342;336;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;8;0.00;0.00;0.00;0.00;1.00;0.00;0.25;255;255;1.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;normal;21
0;tcp;netbios_dgm;REJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;231;2;0.00;0.00;1.00;1.00;0.01;0.07;0.00;255;2;0.01;0.07;0.00;0.00;0.00;0.00;1.00;1.00;neptune;19
0;tcp;http;REJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0.00;0.00;1.00;1.00;1.00;0.00;0.00;25;255;1.00;0.00;0.04;0.17;0.00;0.00;1.00;0.98;normal;21
0;tcp;uucp;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;126;3;1.00;1.00;0.00;0.00;0.02;0.06;0.00;255;3;0.01;0.07;0.00;0.00;1.00;1.00;0.00;0.00;neptune;20
0;tcp;ftp_data;SF;245;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;2;2;0.00;0.00;0.00;0.00;1.00;0.00;0.00;10;65;0.20;0.40;0.20;0.03;0.00;0.05;0.00;0.00;normal;21
0;tcp;other;REJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;511;1;0.12;0.00;0.85;1.00;0.00;1.00;0.00;255;1;0.00;1.00;0.00;0.00;0.13;0.00;0.84;1.00;satan;20
0;tcp;private;REJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;135;13;0.00;0.00;1.00;1.00;0.10;0.07;0.00;255;10;0.04;0.07;0.00;0.00;0.00;0.00;1.00;1.00;neptune;21
0;tcp;http;SF;293;1142;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;5;49;0.00;0.00;0.00;0.00;1.00;0.00;0.10;97;105;1.00;0.00;0.01;0.03;0.00;0.01;0.00;0.00;normal;21
0;tcp;http;SF;361;1264;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;1.00;0.00;0.00;1;255;1.00;0.00;1.00;0.02;0.00;0.00;0.00;0.00;normal;21
0;tcp;private;REJ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24;1;0.00;0.00;1.00;1.00;0.04;1.00;0.00;255;1;0.00;0.43;0.00;0.00;0.00;0.00;0.11;1.00;satan;20
0;tcp;http;SF;54540;8314;0;0;0;2;0;1;1;0;0;0;0;0;0;0;0;0;2;2;0.00;0.00;0.00;0.00;1.00;0.00;0.00;222;222;1.00;0.00;0.00;0.00;0.00;0.00;0.01;0.01;back;11
0;tcp;http;SF;207;1185;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;4;0.00;0.00;0.00;0.00;1.00;0.00;0.00;74;197;1.00;0.00;0.01;0.01;0.00;0.00;0.00;0.00;normal;21
0;udp;private;SF;105;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;2;0.00;0.00;0.00;0.00;1.00;0.00;0.00;57;19;0.33;0.05;0.04;0.00;0.00;0.00;0.00;0.00;normal;20
0;tcp;http;SF;343;1714;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;13;13;0.00;0.00;0.00;0.00;1.00;0.00;0.00;255;255;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;normal;21
0;tcp;smtp;SF;853;331;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;1.00;0.00;0.00;189;111;0.59;0.03;0.01;0.00;0.00;0.00;0.00;0.00;normal;21
0;tcp;link;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;241;5;1.00;1.00;0.00;0.00;0.02;0.07;0.00;255;5;0.02;0.07;0.00;0.00;1.00;1.00;0.00;0.00;neptune;20
0;icmp;urp_i;SF;78;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8;2;0.00;0.00;0.00;0.00;0.25;0.25;0.00;255;19;0.07;0.01;0.07;0.00;0.00;0.00;0.00;0.00;normal;18
0;tcp;http;SF;148;18275;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;4;4;0.00;0.00;0.00;0.00;1.00;0.00;0.00;255;255;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;normal;21
0;tcp;ctf;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;184;11;1.00;1.00;0.00;0.00;0.06;0.06;0.00;255;11;0.04;0.05;0.00;0.00;1.00;1.00;0.00;0.00;neptune;19
0;tcp;http;SF;230;324;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;34;34;0.00;0.00;0.00;0.00;1.00;0.00;0.00;255;255;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;normal;21
0;tcp;http;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;34;6;1.00;1.00;0.00;0.00;0.18;0.15;0.00;255;6;0.02;0.08;0.00;0.00;1.00;1.00;0.00;0.00;neptune;18
0;tcp;smtp;SF;1513;324;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;1.00;0.00;0.00;112;226;0.86;0.04;0.01;0.01;0.00;0.00;0.00;0.00;normal;21
0;tcp;http;SF;193;2692;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;10;10;0.00;0.00;0.00;0.00;1.00;0.00;0.00;44;255;1.00;0.00;0.02;0.02;0.00;0.00;0.00;0.00;normal;21
0;tcp;private;S0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;139;16;1.00;1.00;0.00;0.00;0.12;0.06;0.00;255;14;0.05;0.08;0.00;0.00;1.00;1.00;0.00;0.00;neptune;21
1686;udp;domain_u;SF;83;45;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0.00;0.00;0.00;0.00;1.00;0.00;0.00;111;68;0.61;0.03;0.61;0.00;0.00;0.00;0.00;0.00;normal;21



